car_name,length,width,height
Adler 1.7 Litre , - cm or - inches , - cm or - inches , - cm or - inches 
Adler 1 Litre , - cm or - inches , - cm or - inches , - cm or - inches 
Acura Integra 1986 3-door 1.6i Auto, 428.5 cm or 168.7 inches , 166.5 cm or 65.55 inches , 129 cm or 50.79 inches 
Acura Integra 1986 3-door 1.6i, 428.5 cm or 168.7 inches , 166.5 cm or 65.55 inches , 129 cm or 50.79 inches 
Acura Integra 1986 3-door 1.6i Auto, 428.5 cm or 168.7 inches , 166.5 cm or 65.55 inches , 129 cm or 50.79 inches 
AC 10 , - cm or - inches , - cm or - inches , - cm or - inches 
AC 10 , 330.2 cm or 130 inches , 138.4 cm or 54.49 inches , - cm or - inches 
AC 12 , 349.3 cm or 137.52 inches , - cm or - inches , - cm or - inches 
Abarth 204 A Berlinetta Corsa, 387 cm or 152.36 inches , 139 cm or 54.72 inches , 123 cm or 48.43 inches 
Asia Motors Rocsta 2.2 Diesel Softtop, 359 cm or 141.34 inches , 169 cm or 66.54 inches , 185 cm or 72.83 inches 
Ariel 30hp (Ariel Birmingham) Touring, - cm or - inches , - cm or - inches , - cm or - inches 
Ariel Atom 1.6, 341 cm or 134.25 inches , 179.8 cm or 70.79 inches , 119.5 cm or 47.05 inches 
Ariel Atom 2 2.0 Supercharged, 341 cm or 134.25 inches , 179.8 cm or 70.79 inches , 119.5 cm or 47.05 inches 
Ariel Atom 2 2.0, 341 cm or 134.25 inches , 179.8 cm or 70.79 inches , 119.5 cm or 47.05 inches 
Asia Motors Rocsta 2.2 Diesel Hardtop, 359 cm or 141.34 inches , 169 cm or 66.54 inches , 185 cm or 72.83 inches 
Asia Motors Rocsta 1.8 Hardtop, 359 cm or 141.34 inches , 169 cm or 66.54 inches , 185 cm or 72.83 inches 
Asia Motors Rocsta 1.8 Softtop, 359 cm or 141.34 inches , 169 cm or 66.54 inches , 185 cm or 72.83 inches 
Abarth 205 A Berlinetta GT, 349.5 cm or 137.6 inches , 142 cm or 55.91 inches , 124.5 cm or 49.02 inches 
Abarth 1500 Biposto Coupe BAT, 452 cm or 177.95 inches , 165 cm or 64.96 inches , 138 cm or 54.33 inches 
Abarth 103 GT Coupe Ghia , 388 cm or 152.76 inches ,  144 cm or 56.69 inches , 125.8 cm or 49.53 inches 
Abarth Simca 1300 GT Coupe, 355.5 cm or 139.96 inches , 148 cm or 58.27 inches , 114 cm or 44.88 inches 
ZAZ 966 , 373 cm or 146.85 inches , 153 cm or 60.24 inches , 137 cm or 53.94 inches 
ZAZ 966 B, 373 cm or 146.85 inches , 153.5 cm or 60.43 inches  , 137 cm or 53.94 inches 
Zastava Yugo 65A GLX, 352.8 cm or 138.9 inches , 154.2 cm or 60.71 inches , 138.9 cm or 54.69 inches 
Zastava Yugo 55A GLS, 352.8 cm or 138.9 inches , 154.2 cm or 60.71 inches , 138.9 cm or 54.69 inches 
Zagato Ferrari 3Z, 452 cm or 177.95 inches , 169 cm or 66.54 inches , 128 cm or 50.39 inches 
Zagato Bambu Nissan 300, 407.7 cm or 160.51 inches , 187.8 cm or 73.94 inches , 124.8 cm or 49.13 inches 
Yugo Yugo 65A EFi, 349 cm or 137.4 inches , 155 cm or 61.02 inches , 139 cm or 54.72 inches 
Yugo Yugo 65A, 349 cm or 137.4 inches , 154 cm or 60.63 inches , 134 cm or 52.76 inches 
Yugo Yugo 55A, 349 cm or 137.4 inches , 154 cm or 60.63 inches , 134 cm or 52.76 inches 
Yugo Yugo 45A, 349 cm or 137.4 inches , 154 cm or 60.63 inches , 134 cm or 52.76 inches 
Yugo Sana 1.3 EFi, 393 cm or 154.72 inches , 166 cm or 65.35 inches , 143 cm or 56.3 inches 
Yugo Sana 1.4, 396 cm or 155.91 inches , 164 cm or 64.57 inches , 143 cm or 56.3 inches 
Zagato Zuma , 401.7 cm or 158.15 inches , 178 cm or 70.08 inches , 129.7 cm or 51.06 inches 
Zagato Isocity , 261 cm or 102.76 inches , 147 cm or 57.87 inches , 143.4 cm or 56.46 inches 
Zastava Yugo Florida 1.3, 393 cm or 154.72 inches , 166 cm or 65.35 inches , 141 cm or 55.51 inches 
Zastava Yugo Florida 1.1, 393 cm or 154.72 inches , 166 cm or 65.35 inches , 141 cm or 55.51 inches 
Zastava Yugo Florida 1.6, 393 cm or 154.72 inches , 166 cm or 65.35 inches , 141 cm or 55.51 inches 
Zastava Yugo Florida 1.4, 393 cm or 154.72 inches , 166 cm or 65.35 inches , 141 cm or 55.51 inches 
ZAZ 968 M, 377 cm or 148.43 inches , 157 cm or 61.81 inches , 140 cm or 55.12 inches 
ZAZ 968 , 373 cm or 146.85 inches , 153 cm or 60.24 inches , 137 cm or 53.94 inches 
ZAZ Tavria , 370.8 cm or 145.98 inches , 155.4 cm or 61.18 inches , 141 cm or 55.51 inches 
Abarth Simca 2000 GT Coupe, 361 cm or 142.13 inches , 148 cm or 58.27 inches , 121 cm or 47.64 inches 
Abarth Simca 1300 GT Corsa Coupe, 370 cm or 145.67 inches , 150 cm or 59.06 inches , 112 cm or 44.09 inches 
Abarth Simca 1300 Bialbero S2, 355.5 cm or 139.96 inches , 148 cm or 58.27 inches , 114 cm or 44.88 inches 
Abarth Simca 1300 Bialbero S1, 355.5 cm or 139.96 inches , 148 cm or 58.27 inches , 114 cm or 44.88 inches 
Abarth Simca GT Coupe, 388 cm or 152.76 inches , 144 cm or 56.69 inches , 125.8 cm or 49.53 inches 
Abarth Renault Fregate, 470 cm or 185.04 inches , 172 cm or 67.72 inches , 154 cm or 60.63 inches 
Abarth Coupe Sport 2000 Ghia , - cm or - inches , - cm or - inches , - cm or - inches 
Abarth 208 A Spider Boano, 362 cm or 142.52 inches , 156 cm or 61.42 inches , 94 cm or 37.01 inches 
Abarth 210 A Spider Boano, 367 cm or 144.49 inches , 137 cm or 53.94 inches , 93.4 cm or 36.77 inches 
Abarth 207 A Spider Corsa Boano, 362 cm or 142.52 inches , 156 cm or 61.42 inches , 94 cm or 37.01 inches 
Abarth 209 A Coupe Boano, 362 cm or 142.52 inches , 155 cm or 61.02 inches , 94 cm or 37.01 inches 
Abarth 750 Spider Tubolare, 330 cm or 129.92 inches , 135.6 cm or 53.39 inches , 108.2 cm or 42.6 inches 
Abarth 750 Saloon, 327.7 cm or 129.02 inches , 138.4 cm or 54.49 inches , 140.7 cm or 55.39 inches 
Abarth 750 Spider Allemano, 352.5 cm or 138.78 inches , 139 cm or 54.72 inches , 120 cm or 47.24 inches 
Abarth 750 Coupe Sestriere Zagato, 348 cm or 137.01 inches , 134 cm or 52.76 inches , 119 cm or 46.85 inches 
Abarth 750 Bialbero Record Monza Coupe Zagato, 347 cm or 136.61 inches , 135 cm or 53.15 inches , 114 cm or 44.88 inches 
Abarth 750 Coupe Vignale, 320 cm or 125.98 inches , 141 cm or 55.51 inches , 129.5 cm or 50.98 inches 
Abarth 750 Coupe Viotti, 353 cm or 138.98 inches , 142 cm or 55.91 inches , 120 cm or 47.24 inches 
Abarth 750 Coupe Zagato, 348 cm or 137.01 inches , 134 cm or 52.76 inches , 119 cm or 46.85 inches 
Abarth 750 Spider Boano, 353 cm or 138.98 inches , 142 cm or 55.91 inches , 114 cm or 44.88 inches 
Abarth 750 215 A Coupe, 356 cm or 140.16 inches , 139 cm or 54.72 inches , 118 cm or 46.46 inches 
Abarth 500 Coupe Pininfarina , 334 cm or 131.5 inches , 125 cm or 49.21 inches , 121 cm or 47.64 inches 
Abarth 500 GT Coupe Zagato S2, 320 cm or 125.98 inches , 132 cm or 51.97 inches , 113 cm or 44.49 inches 
Abarth 500 GT Coupe Zagato S1, 322 cm or 126.77 inches , 124 cm or 48.82 inches , 112 cm or 44.09 inches 
Abarth 1000 Bialbero, 348 cm or 137.01 inches , 141 cm or 55.51 inches , 116.5 cm or 45.87 inches 
Abarth 1000 GT Spider Pininfarina, 378 cm or 148.82 inches , 150 cm or 59.06 inches , 108 cm or 42.52 inches 
Abarth 1000 Bialbero Coupe 5 Speed, 348 cm or 137.01 inches , 141 cm or 55.51 inches , 116.5 cm or 45.87 inches 
Abarth 1000 Bialbero Coupe, 348 cm or 137.01 inches , 141 cm or 55.51 inches , 116.5 cm or 45.87 inches 
Abarth 1000 Bialbero GT Coupe, 348 cm or 137.01 inches , 141 cm or 55.51 inches , 116.5 cm or 45.87 inches 
Abarth 1000 Bialbero, 359 cm or 141.34 inches , 139 cm or 54.72 inches , 117 cm or 46.06 inches 
Abarth 1000 GT Coupe, 369 cm or 145.28 inches , 155 cm or 61.02 inches , 120 cm or 47.24 inches 
Abarth 1600 GT Coupe, 380 cm or 149.61 inches , 156.5 cm or 61.61 inches , 110 cm or 43.31 inches 
Abarth 1600 GT Coupe, 370 cm or 145.67 inches , 150 cm or 59.06 inches , 112 cm or 44.09 inches 
Abarth 1600 Coupe Ellena, 422 cm or 166.14 inches , 159 cm or 62.6 inches , 122 cm or 48.03 inches 
Abarth 1600 Coupe, 416.8 cm or 164.09 inches , 158 cm or 62.2 inches , 137 cm or 53.94 inches 
Abarth 1600 Spider Allemano, 423 cm or 166.54 inches , 154 cm or 60.63 inches , 125 cm or 49.21 inches 
Abarth 1600 Coupe Allemano, 423 cm or 166.54 inches , 154 cm or 60.63 inches , 126 cm or 49.61 inches 
Abarth 850 Record Monza, 347 cm or 136.61 inches , 135 cm or 53.15 inches , 114 cm or 44.88 inches 
Abarth 850 S Riviera Spider Allemano, 363 cm or 142.91 inches , 140 cm or 55.12 inches , 119 cm or 46.85 inches 
Abarth 850 Riviera Spider Allemano, 363 cm or 142.91 inches , 140 cm or 55.12 inches , 119 cm or 46.85 inches 
Abarth 850 Coupe Stradale Zagato, 357.5 cm or 140.75 inches , 135 cm or 53.15 inches , 114 cm or 44.88 inches 
Abarth 850 Scorpione Coupe Allemano, 360 cm or 141.73 inches , 142 cm or 55.91 inches , 119 cm or 46.85 inches 
Abarth 2200 Coupe, 445 cm or 175.2 inches , 160 cm or 62.99 inches , 128 cm or 50.39 inches 
Abarth 2200 Spider, 463 cm or 182.28 inches , 160 cm or 62.99 inches , 129 cm or 50.79 inches 
Abarth 700 Bialbero Corsa Beccaris, 347 cm or 136.61 inches , 135 cm or 53.15 inches , 110 cm or 43.31 inches 
Abarth 700 Bialbero Record Monza Coupe Zagato, 359 cm or 141.34 inches , 139 cm or 54.72 inches , 117 cm or 46.06 inches 
Abarth 800 Record Monza Coupe Zagato, 347 cm or 136.61 inches , 135 cm or 53.15 inches , 114 cm or 44.88 inches 
Abarth 800 Scorpione Coupe Allemano, 359 cm or 141.34 inches , 139 cm or 54.72 inches , 117 cm or 46.06 inches 
Abarth Monomille Coupe, 348 cm or 137.01 inches , 141 cm or 55.51 inches , 116.5 cm or 45.87 inches 
Abarth 2400 Allemano Coupe, 461 cm or 181.5 inches , 162 cm or 63.78 inches , 128 cm or 50.39 inches 
Abarth 2400 Coupe, 464.8 cm or 182.99 inches , 162.4 cm or 63.94 inches , 131 cm or 51.57 inches 
Abarth 595 , 297.2 cm or 117.01 inches , 132 cm or 51.97 inches , 132 cm or 51.97 inches 
Abarth OT 1600 Berlina, 357.5 cm or 140.75 inches , 142.5 cm or 56.1 inches , 138.5 cm or 54.53 inches 
Abarth OT 1000 Coupe Pininfarina, 378 cm or 148.82 inches , 150 cm or 59.06 inches , 122 cm or 48.03 inches 
Abarth OT 1000 Spider Bertone, 378.2 cm or 148.9 inches , 149.8 cm or 58.98 inches , 122 cm or 48.03 inches 
Abarth OTR 1000 Coupe, 360.8 cm or 142.05 inches , 150 cm or 59.06 inches , 130 cm or 51.18 inches 
Abarth OT 1300 , 383 cm or 150.79 inches , 162 cm or 63.78 inches , 104 cm or 40.94 inches 
Abarth OT 2000 Coupe America, 366 cm or 144.09 inches , 160 cm or 62.99 inches , 125 cm or 49.21 inches 
Abarth OT 2000 Coupe S1, 383 cm or 150.79 inches , 162 cm or 63.78 inches , 104 cm or 40.94 inches 
Abarth 1300 Scorpione Coupe, 371 cm or 146.06 inches , 149.5 cm or 58.86 inches , 105 cm or 41.34 inches 
Abarth 2000 Coupe Speciale, 378 cm or 148.82 inches , 178 cm or 70.08 inches , 97 cm or 38.19 inches 
Abarth 1000 TC Corsa, 353 cm or 138.98 inches , 139 cm or 54.72 inches , 140 cm or 55.12 inches 
Abarth Monotipo 98 2000, 445 cm or 175.2 inches , 188 cm or 74.02 inches , 120 cm or 47.24 inches 
Abarth 500 595 Esseesse 1.4 T-Jet 180 70th Anniversary prijzen en specificaties, 366 cm or 144.09 inches , 162.7 cm or 64.06 inches , 148.5 cm or 58.46 inches 
Abarth 500 595 Competizione 1.4 T-Jet 180 70th Anniversary Auto, 366 cm or 144.09 inches , 162.7 cm or 64.06 inches , 148.5 cm or 58.46 inches 
Abarth 500 595 Competizione 1.4 T-Jet 180 70th Anniversary, 366 cm or 144.09 inches , 162.7 cm or 64.06 inches , 148.5 cm or 58.46 inches 
Abarth 500 595 Turismo 1.4 T-Jet 165 70th Anniversary Auto, 366 cm or 144.09 inches , 162.7 cm or 64.06 inches , 148.5 cm or 58.46 inches 
Abarth 500 595 Turismo 1.4 T-Jet 165 70th Anniversary, 366 cm or 144.09 inches , 162.7 cm or 64.06 inches , 148.5 cm or 58.46 inches 
Abarth 500 595 1.4 T-Jet 145 70th Anniversary, 366 cm or 144.09 inches , 162.7 cm or 64.06 inches , 148.5 cm or 58.46 inches 
Abarth 500 1.4 16v T-JET 135HP, 365.7 cm or 143.98 inches , 162.7 cm or 64.06 inches , 148.5 cm or 58.46 inches 
Abarth 500 1.4 16v T-JET 140HP Sequential, 365.7 cm or 143.98 inches , 162.7 cm or 64.06 inches , 148.5 cm or 58.46 inches 
Abarth 500 595 Competizione 1.4 16v T-JET 180HP, 365.7 cm or 143.98 inches , 162.7 cm or 64.06 inches , 148.5 cm or 58.46 inches 
Abarth 500 595 Competizione 1.4 16v T-JET 180HP Sequential, 365.7 cm or 143.98 inches , 162.7 cm or 64.06 inches , 148.5 cm or 58.46 inches 
Abarth 500 595 Turismo 1.4 16v T-JET 160HP, 365.7 cm or 143.98 inches , 162.7 cm or 64.06 inches , 148.5 cm or 58.46 inches 
Abarth 500 595 Turismo 1.4 16v T-JET 160HP Sequential, 365.7 cm or 143.98 inches , 162.7 cm or 64.06 inches , 148.5 cm or 58.46 inches 
Abarth 500 1.4 16v T-JET 135HP , 365.7 cm or 143.98 inches , 162.7 cm or 64.06 inches , 148.5 cm or 58.46 inches 
Abarth 500 1.4 16v T-JET 140HP Sequential, 365.7 cm or 143.98 inches , 162.7 cm or 64.06 inches , 148.5 cm or 58.46 inches 
Abarth 500 595 1.4 16v T-JET 160HP , 365.7 cm or 143.98 inches , 162.7 cm or 64.06 inches , 148.5 cm or 58.46 inches 
Abarth 500 595 1.4 16v T-JET 160HP Sequential, 365.7 cm or 143.98 inches , 162.7 cm or 64.06 inches , 148.5 cm or 58.46 inches 
Abarth 500 595 Competizione 1.4 16v T-JET 160HP , 365.7 cm or 143.98 inches , 162.7 cm or 64.06 inches , 148.5 cm or 58.46 inches 
Abarth 500 595 Competizione 1.4 16v T-JET 160HP Sequential, 365.7 cm or 143.98 inches , 162.7 cm or 64.06 inches , 148.5 cm or 58.46 inches 
Abarth 500 695 Tributo Ferrari, 365.7 cm or 143.98 inches , 162.7 cm or 64.06 inches , 148.5 cm or 58.46 inches 
Abarth 500 Opening Edition, 365.7 cm or 143.98 inches , 162.7 cm or 64.06 inches , 148.5 cm or 58.46 inches 
Abarth 500 , 365.7 cm or 143.98 inches , 162.7 cm or 64.06 inches , 148.5 cm or 58.46 inches 
Abarth Punto Evo 1.4 16v MultiAir 165HP , 406.5 cm or 160.04 inches , 172.6 cm or 67.95 inches , 149 cm or 58.66 inches 
Abarth Punto Evo SuperSport 1.4 16v MultiAir 180HP , 406.5 cm or 160.04 inches , 172.6 cm or 67.95 inches , 149 cm or 58.66 inches 
Abarth Punto Evo Scorpione 1.4 16v MultiAir 180HP , 406.5 cm or 160.04 inches , 172.6 cm or 67.95 inches , 149 cm or 58.66 inches 
Abarth Punto Evo 1.4 16v MultiAir 165HP , 406.5 cm or 160.04 inches , 172.6 cm or 67.95 inches , 149 cm or 58.66 inches 
